,page,text,x1,y1,x2,y2,x3,y3,x4,y4,line_no,isHeader,isFooter
33,0,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,33.0,False,True
34,0,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,34.0,False,True
65,1,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,30.0,False,True
66,1,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,31.0,False,True
86,2,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,19.0,False,True
87,2,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,20.0,False,True
129,3,tl AustLll AustLll AustL,0.0333,10.7644,3.9569,10.521,3.9836,11.0977,0.0433,11.2444,41.0,False,True
130,3,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,42.0,False,True
172,4,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.521,3.9869,11.0977,0.0433,11.2444,41.0,False,True
173,4,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,42.0,False,True
208,5,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,34.0,False,True
209,5,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,35.0,False,True
244,6,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,34.0,False,True
245,6,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,35.0,False,True
279,7,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,33.0,False,True
280,7,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,34.0,False,True
315,8,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,34.0,False,True
316,8,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,35.0,False,True
352,9,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,35.0,False,True
353,9,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,36.0,False,True
388,10,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,34.0,False,True
389,10,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,35.0,False,True
424,11,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,34.0,False,True
425,11,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,35.0,False,True
461,12,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,35.0,False,True
462,12,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
498,13,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,35.0,False,True
499,13,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
537,14,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,37.0,False,True
538,14,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
575,15,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,36.0,False,True
576,15,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
613,16,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,36.0,False,True
614,16,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
651,17,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,36.0,False,True
652,17,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,37.0,False,True
690,18,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,37.0,False,True
691,18,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
727,19,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,35.0,False,True
728,19,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
763,20,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,34.0,False,True
764,20,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,35.0,False,True
805,21,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,40.0,False,True
806,21,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,41.0,False,True
844,22,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,37.0,False,True
845,22,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
882,23,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,36.0,False,True
883,23,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,37.0,False,True
922,24,tl AustLll AustLll AustL,0.0333,10.7644,3.9436,10.5277,3.9703,11.1011,0.0433,11.2444,38.0,False,True
923,24,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,39.0,False,True
961,25,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,37.0,False,True
962,25,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
998,26,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,35.0,False,True
999,26,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1039,27,tl AustLll AustLll AustL,0.0333,10.7644,3.9436,10.5277,3.9703,11.1011,0.0433,11.2444,39.0,False,True
1040,27,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,40.0,False,True
1078,28,tl AustLll AustLll AustL,0.0333,10.761,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,37.0,False,True
1079,28,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,38.0,False,True
1115,29,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,35.0,False,True
1116,29,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1152,30,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,35.0,False,True
1153,30,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1190,31,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,36.0,False,True
1191,31,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
1227,32,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,35.0,False,True
1228,32,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,36.0,False,True
1266,33,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,37.0,False,True
1267,33,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,38.0,False,True
1305,34,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,37.0,False,True
1306,34,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
1343,35,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,36.0,False,True
1344,35,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,37.0,False,True
1381,36,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,36.0,False,True
1382,36,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
1418,37,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,35.0,False,True
1419,37,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1457,38,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,37.0,False,True
1458,38,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
1494,39,tl. AustLll AustLll AustL,0.0333,10.761,3.8436,10.5677,3.8669,11.1277,0.04,11.2411,35.0,False,True
1495,39,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1531,40,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,35.0,False,True
1532,40,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,36.0,False,True
1568,41,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,35.0,False,True
1569,41,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1605,42,stL. AustLll AustLll AustL,0.0067,10.7577,3.9369,10.531,3.9636,11.1044,0.0167,11.2444,35.0,False,True
